  Dados detalhados das AIH - por residência - Brasil
Valor aprovado por Procedimento e Ano atendimento
Período:Jun/2020-Out/2022
"Procedimento";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"0303180056 TRATAMENTO DE AFECCOES DO SISTEMA RESPIRATORIO EM HIV/AIDS";-;-;-;-;-;-;-;-;-;-;-;1600,98;2386445,64;3803972,52;3353473,50;9545492,64
"0303180064 TRATAMENTO DE DOENCAS DISSEMINADAS EM AIDS";-;-;-;-;-;-;-;-;-;-;-;1865,12;1936132,30;3112691,34;2621343,92;7672032,68
"0303180072 TRATAMENTO DE HIV / AIDS";-;-;-;-;-;-;-;-;-;-;-;-;406351,89;694100,11;509118,75;1609570,75
"0303190019 TRATAMENTO EM REABILITACAO";-;-;-;-;-;-;-;-;-;-;-;-;3578088,44;7391338,23;7066878,51;18036305,18
"0304010111 INTERNACAO P/ RADIOTERAPIA EXTERNA (COBALTOTERAPIA / ACELERADOR LINEAR)";-;-;-;-;-;-;-;-;-;-;-;-;29800,61;50867,16;43203,55;123871,32
"0304010359 INTERNACAO PARA RADIOTERAPIA ESTEREOTAXICA DO SISTEMA NERVOSO CENTRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;46,16;191,78;237,94
"0304010499 BRAQUITERAPIA OFTALMICA";-;-;-;-;-;-;-;-;-;-;-;-;122433,92;56605,56;47119,84;226159,32
"0304010596 INTERNACAO PARA BRAQUITERAPIA";-;-;-;-;-;-;-;-;-;-;-;-;644,61;392,36;137,45;1174,42
"0304080020 INTERNACAO P/ QUIMIOTERAPIA DE ADMINISTRACAO CONTINUA";-;-;-;-;-;-;-;-;-;-;-;5500,00;46261039,14;74276675,60;60463368,24;181006582,98
"0304080039 INTERNACAO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRONICAS AGUDIZADAS";-;-;-;-;-;-;-;-;-;-;-;-;37730441,23;57725005,79;42075757,77;137531204,79
"0304080047 QUIMIOTERAPIA INTRA-ARTERIAL";-;-;-;-;-;-;-;-;-;-;-;-;37734,42;55787,44;40155,72;133677,58
"0304080063 QUIMIOTERAPIA INTRACAVITARIA";-;-;-;-;-;-;-;-;-;-;-;-;2246,18;5291,38;4177,03;11714,59
"0304090018 IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (150 MCI)";-;-;-;-;-;-;-;-;-;-;-;-;848724,96;1286912,57;1187002,70;3322640,23
"0304090026 IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (100 MCI)";-;-;-;-;-;-;-;-;-;-;-;-;677832,08;970751,32;876949,31;2525532,71
"0304090034 IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (200 MCI)";-;-;-;-;-;-;-;-;-;-;-;-;356617,53;467875,58;450926,34;1275419,45
"0304090042 IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (250 MCI)";-;-;-;-;-;-;-;-;-;-;-;-;143709,62;500557,46;514154,79;1158421,87
"0304100013 TRATAMENTO DE INTERCORRENCIAS CLINICAS DE PACIENTE ONCOLOGICO";-;-;-;-;-;-;-;-;-;-;-;367,44;10271545,87;16956159,21;14094984,81;41323057,33
"0304100021 TRATAMENTO CLINICO DE PACIENTE ONCOLOGICO";-;-;-;-;-;-;-;-;-;-;-;1345,64;35060698,54;56071420,20;45731669,39;136865133,77
"0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS";-;-;-;-;-;-;-;-;-;-;-;2005,56;1305975,19;1753833,02;1254598,97;4316412,74
"0305010042 HEMODIALISE CONTINUA";-;-;-;-;-;-;-;-;-;-;-;51688,59;19187450,88;32740089,91;19953446,94;71932676,32
"0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO";-;-;-;-;-;-;-;-;-;-;-;135412,14;153202324,68;267772786,33;169903293,43;591013816,58
"0305010140 HEMOFILTRACAO";-;-;-;-;-;-;-;-;-;-;-;253,70;817019,30;1608538,50;1177438,15;3603249,65
"0305010158 HEMOFILTRACAO CONTINUA";-;-;-;-;-;-;-;-;-;-;-;-;65315,80;125595,26;229004,75;419915,81
"0305010174 TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA)";-;-;-;-;-;-;-;-;-;-;-;-;7438573,09;11739693,86;10517740,04;29696006,99
"0305010190 ULTRAFILTRACAO";-;-;-;-;-;-;-;-;-;-;-;1228,00;1460982,06;3281949,35;2481093,00;7225252,41
"0305020013 TRATAMENTO DA PIELONEFRITE";-;-;-;-;-;-;-;-;-;-;-;180,39;8272007,22;13476471,39;11535190,15;33283849,15
"0305020021 TRATAMENTO DE CALCULOSE RENAL";-;-;-;-;-;-;-;-;-;-;-;-;3318391,42;5182569,27;4424715,37;12925676,06
"0305020030 TRATAMENTO DE HIPERTENSAO NEFROGENA E RENOVASCULAR";-;-;-;-;-;-;-;-;-;-;-;-;21245,96;31794,98;24371,10;77412,04
"0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA";-;-;-;-;-;-;-;-;-;-;-;204,74;4537222,46;7797658,88;7247870,95;19582957,03
"0305020056 TRATAMENTO DE INSUFICIENCIA RENAL CRONICA";-;-;-;-;-;-;-;-;-;-;-;5443,37;16557391,82;26647189,25;22999032,17;66209056,61
"0306020017 AFERESE TERAPEUTICA";-;-;-;-;-;-;-;-;-;-;-;-;22918,80;42702,24;31677,36;97298,40
"0306020041 SANGRIA TERAPEUTICA";-;-;-;-;-;-;-;-;-;-;-;-;2096,43;2804,62;2330,93;7231,98
"0306020050 TRANSFUSAO DE CONCENTRADO DE GRANULOCITOS";-;-;-;-;-;-;-;-;-;-;-;-;771,88;495,01;1325,62;2592,51
"0306020068 TRANSFUSAO DE CONCENTRADO DE HEMACIAS";83,90;-;-;-;-;-;-;8,39;-;-;58,73;6426,74;8332872,49;12918494,11;9326726,72;30584671,08
"0306020076 TRANSFUSAO DE CONCENTRADO DE PLAQUETAS";67,12;-;-;-;-;-;-;-;-;-;-;1996,82;2476853,85;3731469,28;2795992,67;9006379,74
"0306020084 TRANSFUSAO DE CRIOPRECIPITADO";-;-;-;-;-;-;-;-;-;-;-;201,36;443294,04;666946,27;527437,35;1637879,02
"0306020092 TRANSFUSAO DE PLAQUETAS POR AFERESE";-;-;-;-;-;-;-;-;-;-;-;137,53;114902,27;188003,51;146056,86;449100,17
"0306020106 TRANSFUSAO DE PLASMA FRESCO";-;-;-;-;-;-;-;-;-;-;-;1392,74;1665591,19;2414188,94;1725546,13;5806719,00
"0306020114 TRANSFUSAO DE PLASMA ISENTO DE CRIOPRECIPITADO";-;-;-;-;-;-;-;-;-;-;-;-;33299,91;40850,91;23953,45;98104,27
"0306020122 TRANSFUSAO DE SANGUE / COMPONENTES IRRADIADOS";-;-;-;-;-;-;-;-;-;-;-;545,28;1156760,40;1684881,12;1112439,36;3954626,16
"0306020130 TRANSFUSAO DE SUBSTITUICAO / TROCA (EXSANGUINEOTRANSFUSAO)";-;-;-;-;-;-;-;-;-;-;-;53,34;10614,66;41960,80;12303,76;64932,56
"0306020149 TRANSFUSAO DE UNIDADE DE SANGUE TOTAL";-;-;-;-;-;-;-;-;-;-;-;-;66725,67;112325,32;89848,51;268899,50
"0306020157 TRANSFUSAO FETAL INTRA-UTERINA";-;-;-;-;-;-;-;-;-;-;-;-;302,26;586,74;337,82;1226,82
"0307010058 TRATAMENTO DE NEVRALGIAS FACIAIS";-;-;-;-;-;-;-;-;-;-;-;-;5340,75;31616,04;39298,24;76255,03
"0307020037 TRATAMENTO ENDODONTICO DE DENTE DECIDUO";-;-;-;-;-;-;-;-;-;-;-;-;190,06;386,82;463,97;1040,85
"0307020045 TRATAMENTO ENDODONTICO DE DENTE PERMANENTE BIRRADICULAR";-;-;-;-;-;-;-;-;-;-;-;-;188,43;788,55;1250,49;2227,47
"0307020053 TRATAMENTO ENDODONTICO DE DENTE PERMANENTE COM TRES OU MAIS RAIZES";-;-;-;-;-;-;-;-;-;-;-;-;27,80;347,50;236,30;611,60
"0307020061 TRATAMENTO ENDODONTICO DE DENTE PERMANENTE UNIRRADICULAR";-;-;-;-;-;-;-;-;-;-;-;-;39,69;53,80;112,01;205,50
"0307020088 RETRATAMENTO ENDODONTICO EM DENTE PERMANENTE BI-RADICULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;5,71;11,42;17,13
"0307020096 RETRATAMENTO ENDODONTICO EM DENTE PERMANENTE COM 3 OU MAIS RAIZES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6,95;6,95
"0307020100 RETRATAMENTO ENDODONTICO EM DENTE PERMANENTE UNI-RADICULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;4,41;18,08;22,49
"0307020118 SELAMENTO DE PERFURACAO RADICULAR";-;-;-;-;-;-;-;-;-;-;-;-;5,12;-;2,56;7,68
"0307030032 RASPAGEM CORONO-RADICULAR (POR SEXTANTE)";29,76;-;-;-;32,24;-;-;-;-;3,72;-;130,20;1156,47;2825,33;2977,85;7155,57
"0307040011 COLOCACAO DE PLACA DE MORDIDA";-;-;-;-;-;-;-;-;-;-;-;-;43,69;77,08;113,97;234,74
"0307040062 MANUTENCAO PERIODICA DE PROTESE BUCO-MAXILO-FACIAL";-;-;-;-;-;-;-;-;-;-;-;-;1,74;2,90;-;4,64
"0307040089 REEMBASAMENTO E CONSERTO DE PROTESE DENTARIA";-;-;-;-;-;-;-;-;-;-;-;-;5,22;26,68;19,72;51,62
"0308010019 TRATAMENTO DE TRAUMATISMOS DE LOCALIZACAO ESPECIFICADA / NAO ESPECIFICADA";-;-;-;-;-;-;-;-;-;-;-;1527,02;19192698,67;30346634,65;25013480,92;74554341,26
"0308010027 TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO";-;-;-;-;-;-;-;-;-;-;-;-;57627,64;84548,43;61685,85;203861,92
"0308010035 TRATAMENTO DE TRAUMATISMOS C/ LESAO DE ORGAO INTRA-TORACICO E INTRA-ABDOMINAL";-;-;-;-;-;-;-;-;-;-;-;-;1356141,09;2143155,17;1697294,74;5196591,00
"0308010043 TRATAMENTO DE TRAUMATISMOS ENVOLVENDO MULTIPLAS REGIOES DO CORPO";-;-;-;-;-;-;-;-;-;-;-;-;1299206,89;2062399,27;1663280,09;5024886,25
"0308020014 HEMODIAFILTRACAO CONTINUA";-;-;-;-;-;-;-;-;-;-;-;-;59431,98;64133,60;37429,73;160995,31
"0308020022 TRATAMENTO DE EFEITOS DO CONTATO C/ ANIMAIS E PLANTAS VENENOSOS";-;-;-;-;-;-;-;-;-;-;-;-;2262291,75;3951751,05;2834401,28;9048444,08
"0308020030 TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDI";-;-;-;-;-;-;-;-;-;-;-;-;2215159,26;3609303,74;2980685,75;8805148,75
"0308030010 TRATAMENTO DE EFEITOS DA PENETRACAO DE CORPO ESTRANHO EM ORIFICIO NATURAL";-;-;-;-;-;-;-;-;-;-;-;-;279259,21;448149,66;363856,08;1091264,95
"0308030028 TRATAMENTO DE EFEITOS DE OUTRAS CAUSAS EXTERNAS";-;-;-;-;-;-;-;-;-;-;-;-;384185,03;610359,99;466923,42;1461468,44
"0308030036 TRATAMENTO DE QUEIMADURAS CORROSOES E GELADURAS";-;-;-;-;-;-;-;-;-;-;-;-;172823,68;291453,83;208704,73;672982,24
"0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS";-;-;-;-;-;-;-;-;-;-;-;1299,11;5795788,66;9993582,25;9351854,23;25142524,25
"0308040023 TRATAMENTO DE EVENTOS ADVERSOS POS-VACINAIS";-;-;-;-;-;-;-;-;-;-;-;-;7151,85;24809,77;15249,17;47210,79
"0309010039 GASTROSTOMIA ENDOSCOPICA PERCUTANEA (INCLUI MATERIAL E SEDACAO ANESTESICA)";-;-;-;-;-;527,50;-;-;-;-;-;2373,75;1657878,93;2842907,36;2494863,02;6998550,56
"0309010047 NUTRICAO ENTERAL EM ADULTO";-;-;-;-;107610,00;58590,00;30,00;18270,00;34650,00;152190,00;165441,00;223323,00;67565178,00;108333882,00;64194105,00;240853269,00
"0309010055 NUTRICAO ENTERAL EM NEONATOLOGIA";-;-;-;-;-;-;-;-;-;-;-;18225,00;2705354,10;3821228,10;2817674,10;9362481,30
"0309010063 NUTRICAO ENTERAL EM PEDIATRIA";-;-;-;-;-;-;-;-;-;-;-;21875,40;3259409,40;4989977,10;3921890,40;12193152,30
"0309010071 NUTRICAO PARENTERAL EM ADULTO";-;-;-;-;-;-;-;-;-;-;-;18942,00;7112850,00;10731261,00;7856823,00;25719876,00
"0309010080 NUTRICAO PARENTERAL EM NEONATOLOGIA";-;-;-;-;-;-;-;-;-;-;-;8220,00;4214734,50;5893128,00;3699679,50;13815762,00
"0309010098 NUTRICAO PARENTERAL EM PEDIATRIA";-;-;-;-;-;-;-;-;-;-;-;8235,00;1692605,25;2308347,00;1601516,25;5610703,50
"0309010101 PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)";-;-;-;-;728,00;224,00;-;-;28,00;672,00;369,60;1904,00;4559052,40;7501670,40;4753870,80;16818519,20
"0309030056 DILATACAO DE URETRA (POR SESSAO)";-;-;-;-;-;-;-;-;-;-;-;-;446,73;899,29;787,37;2133,39
"0309030099 INSTILACAO DE URETRA E BEXIGA";-;-;-;-;-;-;-;-;-;-;-;-;11,53;23,81;11,22;46,56
"0309040019 AVALIACAO DE MARCAPASSO";-;-;-;-;-;-;-;-;-;-;-;-;1991,95;2008,22;1118,31;5118,48
"0309040027 CARDIOVERSAO ELETRICA";-;-;-;-;-;-;-;-;-;-;-;-;120218,25;264871,87;104669,48;489759,60
"0309060010 INSTALACAO DE CATETER DUPLO LUMEN POR PUNCAO";-;-;-;-;-;-;-;-;-;-;-;-;134294,95;181901,59;174905,60;491102,14
"0309060036 INSTALACAO DE CATETER MONO LUMEN POR PUNCAO";-;-;-;-;85,00;-;170,00;85,00;-;85,00;85,00;1870,00;8714850,25;15083522,00;9368933,75;33169686,00
"0310010020 ATENDIMENTO AO RECEM-NASCIDO NO MOMENTO DO NASCIMENTO";-;-;-;-;-;-;-;-;-;-;-;280,69;59870136,40;96909304,54;72868923,24;229648644,87
"0310010039 PARTO NORMAL";-;-;-;-;-;-;-;-;-;-;-;-;242449707,02;390737962,42;286638375,61;919826045,05
"0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO";-;-;-;-;-;-;-;-;-;-;-;-;39713067,58;66485227,18;50969386,72;157167681,48
"0310010055 PARTO NORMAL EM CENTRO DE PARTO NORMAL (CPN)";-;-;-;-;-;-;-;-;-;-;-;-;7426422,49;11910387,75;8232643,28;27569453,52
"0401010015 CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO";18046,80;3045,60;48826,80;7095,60;243259,20;179301,60;266684,40;233960,40;786477,60;453373,20;622436,40;1368853,02;105811591,14;164602795,68;127001324,88;401647072,32
"0401010040 ELETROCOAGULACAO DE LESAO CUTANEA";-;-;-;-;-;-;-;-;-;-;-;-;6168,63;5615,08;5468,86;17252,57
"0401010058 EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA";-;-;-;-;-;-;-;-;-;-;-;-;1300295,06;2442155,32;2503533,89;6245984,27
"0401010104 INCISAO E DRENAGEM DE ABSCESSO";-;-;-;-;-;-;-;-;-;-;-;23,68;73936,49;113938,56;89397,33;277296,06
"0401020010 ENXERTO COMPOSTO";-;-;-;-;-;-;-;-;-;-;-;-;577516,93;989595,90;804774,81;2371887,64
"0401020029 ENXERTO DERMO-EPIDERMICO";-;-;-;-;-;-;-;-;-;-;-;-;1588148,77;2392010,50;1736423,53;5716582,80
"0401020037 ENXERTO LIVRE DE PELE TOTAL";-;-;-;-;-;-;-;-;-;-;-;-;1954193,95;2838222,51;2050387,63;6842804,09
"0401020045 EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )";-;-;-;-;-;-;-;-;-;-;-;-;1882424,87;2945899,23;3300286,74;8128610,84
"0401020053 EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO";-;-;-;-;-;-;-;-;-;-;-;418,73;6240413,47;10926906,18;11871640,55;29039378,93
"0401020061 EXERESE DE CISTO BRANQUIAL";-;-;-;-;-;-;-;-;-;-;-;-;111683,87;229617,99;272811,79;614113,65
"0401020070 EXERESE DE CISTO DERMOIDE";-;-;-;-;-;-;-;-;-;-;-;-;500843,29;943213,74;1429217,26;2873274,29
"0401020088 EXERESE DE CISTO SACRO-COCCIGEO";-;-;-;-;-;-;-;-;-;-;-;-;291378,01;504986,93;628857,74;1425222,68
"0401020096 EXERESE DE CISTO TIREOGLOSSO";-;-;-;-;-;-;-;-;-;-;-;-;200720,65;389467,54;476668,54;1066856,73
"0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO";-;-;-;-;-;-;-;-;-;-;-;92,52;2711758,60;4535467,08;5570147,21;12817465,41
"0401020118 HOMOENXERTIA (ATO CIRURGICO PRE E POS-OPERATORIO)";-;-;-;-;-;-;-;-;-;-;-;-;65951,70;98728,52;71446,52;236126,74
"0401020126 TRATAMENTO CIRURGICO DE ESCALPO PARCIAL";-;-;-;-;-;-;-;-;-;-;-;-;91599,42;152389,32;85119,96;329108,70
"0401020134 TRATAMENTO CIRURGICO DE ESCALPO TOTAL";-;-;-;-;-;-;-;-;-;-;-;-;20728,82;40982,77;22150,07;83861,66
"0401020142 TRATAMENTO CIRURGICO DE HIPERCERATOSE PLANTAR (C/ CORRECAO PLASTICA)";-;-;-;-;-;-;-;-;-;-;-;-;8751,11;30656,77;38026,97;77434,85
"0401020150 TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR";-;-;-;-;-;-;-;-;-;-;-;-;74654,66;138973,46;169941,35;383569,47
"0401020169 TRATAMENTO EM ESTAGIOS SUBSEQUENTES DE ENXERTIA";-;-;-;-;-;-;-;-;-;-;-;-;389695,83;546863,17;276730,76;1213289,76
"0402010019 EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSESTERNAL";-;-;-;-;-;-;-;-;-;-;-;-;99116,98;146549,70;139427,92;385094,60
"0402010027 PARATIREOIDECTOMIA";-;-;-;-;-;-;-;-;-;-;-;-;215410,40;436725,35;565532,33;1217668,08
"0402010035 TIREOIDECTOMIA PARCIAL";-;-;-;-;-;-;-;-;-;-;-;-;414991,60;899888,59;1073259,98;2388140,17
"0402010043 TIREOIDECTOMIA TOTAL";-;-;-;-;-;-;-;-;-;-;-;-;940638,90;1943742,42;2423191,31;5307572,63
"0402010051 TIREOIDECTOMIA TOTAL COM ESVAZIAMENTO GANGLIONAR";-;-;-;-;-;-;-;-;-;-;-;-;76461,75;133090,11;127847,36;337399,22
"0402020014 SUPRARRENALECTOMIA BILATERAL";-;-;-;-;-;-;-;-;-;-;-;-;8658,01;10401,10;11704,42;30763,53
"0402020022 SUPRARRENALECTOMIA UNILATERAL";-;-;-;-;-;-;-;-;-;-;-;-;126660,27;218718,12;222433,61;567812,00
"0403010012 CRANIOPLASTIA";-;-;-;-;-;-;-;-;-;-;-;-;10773865,49;17035403,75;13267201,35;41076470,59
"0403010020 CRANIOTOMIA DESCOMPRESSIVA";-;-;-;-;-;-;-;-;-;-;-;-;5793970,56;8986500,23;6813650,00;21594120,79
"0403010039 CRANIOTOMIA DESCOMPRESSIVA DA FOSSA POSTERIOR";-;-;-;-;-;-;-;-;-;-;-;-;778131,19;1142943,78;942961,61;2864036,58
"0403010047 CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO";-;-;-;-;-;-;-;-;-;-;-;-;661468,69;1024595,67;938915,35;2624979,71
"0403010055 CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO (COM TECNICA COMPLEMENTAR)";-;-;-;-;-;-;-;-;-;-;-;-;405364,80;631580,65;529415,98;1566361,43
"0403010063 CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO";-;-;-;-;-;-;-;-;-;-;-;-;269490,24;422680,06;288171,75;980342,05
"0403010071 CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TECNICA COMPLEMENTAR)";-;-;-;-;-;-;-;-;-;-;-;-;169366,26;267660,94;223462,02;660489,22
"0403010080 DERIVACAO RAQUE-PERITONEAL";-;-;-;-;-;-;-;-;-;-;-;-;153116,34;230963,08;140469,41;524548,83
"0403010098 DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA";-;-;-;-;-;-;-;-;-;-;-;1003,69;10205295,55;15352632,32;11170137,66;36729069,22
"0403010101 DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE";-;-;-;-;-;-;-;-;-;-;-;-;8569292,80;12658638,53;9297030,09;30524961,42
"0403010110 DESCOMPRESSAO DE ORBITA POR DOENCA OU TRAUMA";-;-;-;-;-;-;-;-;-;-;-;-;494240,06;641124,45;417639,66;1553004,17
"0403010128 MICROCIRURGIA CEREBRAL ENDOSCOPICA";-;-;-;-;-;-;-;-;-;-;-;-;3752676,16;5814673,60;4738645,25;14305995,01
"0403010136 MICROCIRURGIA DA SIRINGOMIELIA";-;-;-;-;-;-;-;-;-;-;-;-;86644,61;150128,71;116154,07;352927,39
"0403010144 RECONSTRUCAO CRANIANA / CRANIO-FACIAL";-;-;-;-;-;-;-;-;-;-;-;-;2573127,35;4052468,08;3789404,11;10414999,54
"0403010152 RESSECCAO DE MUCOCELE FRONTAL";-;-;-;-;-;-;-;-;-;-;-;-;44926,16;74250,29;90184,33;209360,78
"0403010160 RETIRADA DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE";-;-;-;-;-;-;-;-;-;-;-;-;648382,19;932183,13;638280,52;2218845,84
"0403010179 RETIRADA DE PLACA DE CRANIOPLASTIA";-;-;-;-;-;-;-;-;-;-;-;-;211547,55;342226,06;305107,07;858880,68
"0403010187 REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE";-;-;-;-;-;-;-;-;-;-;-;-;1120390,29;1797141,36;1325156,51;4242688,16
"0403010195 TRATAMENTO CIRURGICO DE ABSCESSO INTRACRANIANO";-;-;-;-;-;-;-;-;-;-;-;-;716937,72;1046214,53;911580,21;2674732,46
"0403010209 TRATAMENTO CIRURGICO DE CRANIOSSINOSTOSE COM SUTURA UNICA";-;-;-;-;-;-;-;-;-;-;-;-;48447,18;104792,24;80990,38;234229,80
"0403010217 TRATAMENTO CIRURGICO DE CRANIOSSINOSTOSE COMPLEXA";-;-;-;-;-;-;-;-;-;-;-;-;175957,25;417813,04;317967,90;911738,19
"0403010225 TRATAMENTO CIRURGICO DE DISRAFISMO ABERTO";-;-;-;-;-;-;-;-;-;-;-;-;426324,40;588347,53;423650,00;1438321,93
"0403010233 TRATAMENTO CIRURGICO DE DISRAFISMO OCULTO";-;-;-;-;-;-;-;-;-;-;-;-;95435,54;196327,44;153062,60;444825,58
"0403010241 TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA";-;-;-;-;-;-;-;-;-;-;-;-;5310782,90;9135606,33;7714981,15;22161370,38
"0403010250 TRATAMENTO CIRURGICO DE FISTULA LIQUORICA RAQUIDIANA";-;-;-;-;-;-;-;-;-;-;-;-;1562985,86;2965514,32;2701564,02;7230064,20
"0403010268 TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO";-;-;-;-;-;-;-;-;-;-;-;-;2200130,20;3156608,33;2157691,72;7514430,25
"0403010276 TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL";-;-;-;-;-;-;-;-;-;-;-;-;4996773,43;6259597,08;4231838,12;15488208,63
"0403010284 TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL";-;-;-;-;-;-;-;-;-;-;-;-;3924394,44;5696490,00;3980466,59;13601351,03
"0403010292 TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL (COM TECNICA COMPLEMENTAR)";-;-;-;-;-;-;-;-;-;-;-;-;1467380,23;1745412,10;1297958,93;4510751,26
"0403010306 TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO";-;-;-;-;-;-;-;-;-;-;-;-;7402906,88;10538783,00;7547695,60;25489385,48
"0403010314 TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO";-;-;-;-;-;-;-;-;-;-;-;-;7613729,47;11250433,32;9187738,46;28051901,25
"0403010322 TRATAMENTO CIRURGICO DE OSTEOMIELITE DO CRANIO";-;-;-;-;-;-;-;-;-;-;-;-;285971,49;527296,50;408627,36;1221895,35
"0403010330 TRATAMENTO CIRURGICO DE PLATIBASIA E MALFORMACAO DE ARNOLD CHIARI";-;-;-;-;-;-;-;-;-;-;-;-;190691,53;308778,51;317874,33;817344,37
"0403010349 TREPANACAO CRANIANA PARA PROPEDEUTICA NEUROCIRURGICA / IMPLANTE PARA MONITORIZACAO PIC";-;-;-;-;-;-;-;-;-;-;-;-;1026210,15;1614310,28;1169082,71;3809603,14
"0403010357 TREPANACAO CRANIANA PARA PUNCAO OU BIOPSIA (COM TECNICA COMPLEMENTAR)";-;-;-;-;-;-;-;-;-;-;-;-;277725,25;630116,51;588466,17;1496307,93
"0403010365 TREPANACAO CRANIANA PARA PUNCAO OU BIOPSIA";-;-;-;-;-;-;-;-;-;-;-;-;382549,68;630033,62;536211,05;1548794,35
"0403010390 DRENAGEM LIQUORICA LOMBAR EXTERNA";-;-;-;-;-;-;-;-;-;-;-;2343,87;1027616,21;1620035,23;1458618,70;4108614,01
"0403020018 ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS)";-;-;-;-;-;-;-;-;-;-;-;-;330345,80;583655,38;480028,13;1394029,31
"0403020026 ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (UNICO NERVO)";-;-;-;-;-;-;-;-;-;-;-;-;358510,80;670634,01;713011,22;1742156,03
"0403020034 MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORACAO E NEUROLISE";-;-;-;-;-;-;-;-;-;-;-;-;131396,84;256682,70;219129,54;607209,08
"0403020042 MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA";-;-;-;-;-;-;-;-;-;-;-;-;288575,23;588797,62;385865,72;1263238,57
"0403020050 MICRONEUROLISE DE NERVO PERIFERICO";-;-;-;-;-;-;-;-;-;-;-;-;2725514,90;5822093,70;5552101,48;14099710,08
"0403020069 MICRONEURORRAFIA";-;-;-;-;-;-;-;-;-;-;-;-;2676514,62;4171242,85;3391706,20;10239463,67
"0403020077 NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS";-;-;-;-;-;-;-;-;-;-;-;-;3192085,06;5755265,35;5543565,25;14490915,66
"0403020085 NEURORRAFIA";-;-;-;-;-;-;-;-;-;-;-;-;940878,22;1509332,13;1168283,15;3618493,50
"0403020093 NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS";-;-;-;-;-;-;-;-;-;-;-;-;51606,04;61993,72;70150,73;183750,49
"0403020107 TRANSPOSICAO DO NERVO CUBITAL";-;-;-;-;-;-;-;-;-;-;-;-;126926,03;247344,71;257328,19;631598,93
